_TYPE_	_NAME_	v000001	v000002	v000003	v000004	v000005	v000006	v000007	v000008	v000009	v000010	v000011	v000012	v000013	v000014	v000015	v000016	v000017	v000018	v000019	v000020	v000021	v000022	v000023	v000024	v000025	v000026	v000027	v000028	v000030	v000034	v000035	v000036	v000037	v000038	v000039	v000040	v000041	v000042	v000043	v000044	v000046	v000047	v000049	v000050	v000051	v000052	v000053	v000054	v000056	v000057	v000058	v000059	v000060	v000061	v000062	v000063	v000065	v000068	v000070	v000071	v000073	v000075	v000078	v000080	v000082	v000086	v000094	v000095	v000096	v000099	v000100	v000106	v000109	v000118	v000119	v000120	v000132	v000139	v000140	v000141	v000144	v000148	v000158	v000161	v000164	v000166	v000170	v000176	v000177	v000180	v000182	v000184	v000187	v000192	v000197	v000198	v000200	v000201	v000202	v000203	v000205	v000206	v000207	v000208	v000210	v000211	v000213	v000214	v000224	v000225	v000228	v000237	v000243	v000245	v000252	v000274	v000281	v000285	v000296	v000297	v000299	v000307	v000323	v000327	v000335	v000348	v000359	v000447	v000450	v000473	v000511	v000518	v000528	v000531	v000533	v000536	v000544	v000549	v000574	v000578	v000610	v000633	v000669	v000703	v000708	v000824	v000832	v000886	v000900	v000941
CORR	v000038	0.1603972604	0.3335264558	0.1759196508	0.2026820652	0.0438642873	-0.023353721	0.1923919647	0.011061198	0.0356951138	0.2088986933	0.0070945415	0.1278841466	0.0510902593	0.1027796697	0.154619276	0.0544201637	0.0632998363	-0.183325255	0.0769660768	0.1723658488	-0.066337701	-0.104186153	0.1992650789	0.0762099872	0.0726409471	0.3061706176	0.1810949257	0.0337599304	0.1222137207	0.0920911643	-0.065082944	-0.064486956	0.1102716172	1	0.0943249687	-0.842591122	-0.018582712	0.0121263377	0.1868115231	0.213531239	0.1443703898	0.3297580071	0.1591455351	0.135056011	0.0542419947	0.0293270105	-0.157643038	0.033995535	0.125029081	-0.093291359	0.0246507223	0.2074667464	0.1005064422	0.123462054	0.0526733876	0.0080190856	-0.029038792	0.1073134216	-0.023037126	0.1005740565	-0.246328366	-0.000245945	0.1208021004	0.0071900255	0.0424316392	-0.031918095	-0.082124292	0.0807294908	-0.024537055	-0.047066934	-0.046078087	0.094349677	0.0656891839	0.0369251546	0.0179909845	0.1335307108	0.101606174	0.1334173611	0.2044645405	-0.205944392	0.2160583445	0.0926268757	0.1172570613	-0.072439038	-0.033656482	0.0486238512	0.1257179236	0.0750295121	0.1282970709	-0.02556809	0.1473344202	0.0589077577	0.1004437765	0.1052709612	0.1236472405	0.1242029426	0.1242029426	0.1247606754	0.1247606754	0.1247606754	0.1247606754	0.1253204545	0.1253204545	0.1253204545	0.1258822937	0.1258822937	0.1264462099	-0.176963803	-0.097173919	0.1148334603	-0.096693049	0.2981467928	-0.091279457	0.031093992	0.2864972804	0.265438284	0.1194699425	-0.075787248	-0.805707359	-0.14863685	-0.148092499	0.107852161	0.1114419153	-0.063876239	-0.061352901	0.1427405131	0.0410519029	-0.112670975	0.0968538371	0.1005527088	-0.103445528	0.0336490467	-0.01760191	-0.01669641	0.1426934347	0.1437507301	0.0820470756	-0.096012223	0.1228593636	-0.008238896	-0.939946995	0.0570135057	0.3485830315	-0.999	0.072323124	0.1318979374	0.1318979374	-0.045537526	-0.045537526	0.0485668868
CORR	v000039	-0.063134218	0.0614931437	-0.048546376	0.0296071785	0.1662622327	-0.085623107	0.1193534281	0.1616351558	0.0054577591	0.023445366	-0.030962792	0.0700848161	0.3682748862	0.0257865678	0.0664920192	0.03916381	0.0565806713	-0.276103392	0.0300056423	0.0832737371	-0.010259648	0.3042825059	0.0676169417	0.1406946722	-0.073598155	0.098665313	-0.015165639	0.1866902992	0.1058250188	-0.058259549	0.0403603992	0.0293785623	0.017339317	0.0943249687	1	0.0169845622	0.1406258259	-0.062023306	0.019950395	0.0800749932	0.0141798897	0.0316443596	0.0941746355	-0.01031182	-0.046646657	0.2204952715	-0.022332014	0.0672505709	0.0919294037	0.2272227549	0.0721440705	0.08892865	-0.136874072	0.0133841907	0.01366893	-0.134130173	0.2053813647	-0.177268248	0.0540140694	0.151504489	-0.089140385	0.0852488198	-0.120353067	0.1518645787	0.0327580401	-0.080201425	-0.075662169	-0.02039434	0.0047651493	0.0793654694	0.0804553399	-0.033726849	-0.09862047	-0.055865472	0.0248366818	-0.053360983	0.0752457465	0.0778241017	-0.042083436	-0.078902211	-0.040903465	-0.007335434	-0.068247798	0.2582730368	0.0038683841	-0.0636512	-0.999	-0.058890555	-0.10820496	-0.057116371	-0.179984131	0.0657072856	-0.177983846	-0.174295624	-0.999	-0.999	-0.173460121	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	0.1662060478	-0.002426032	-0.999	-0.1665539	-0.163400212	-0.034806011	0.0056420492	-0.081699548	0.0489236814	-0.148317143	0.0533146781	0.0259081053	-0.013664602	-0.013043577	-0.010529881	-0.007318975	0.0948318732	-0.003359911	-0.823084774	-0.830581413	0.2200006205	-0.866011886	-0.103277686	-0.016043755	-0.895011372	-0.093736476	0.0853698051	0.2571678503	-0.092067376	0.3612940567	0.0883858359	0.3437457631	0.2300349976	-0.079660769	0.0078553104	-0.067859189	-0.999	0.0223500457	0.2324171794	0.2324171794	0.2440283467	-0.039907267	-0.999
CORR	v000040	-0.10943	-0.231069291	0.0538095704	-0.097035764	-0.096940426	-0.115955709	-0.303158677	-0.125549673	-0.356642142	-0.05657457	-0.038133288	-0.146817206	0.364128715	-0.159202816	-0.15781002	-0.203797412	-0.176216761	-0.999	-0.27087595	-0.193166305	-0.085401177	-0.999	-0.999	-0.999	-0.176596987	-0.313964767	-0.207130046	-0.999	-0.097778503	-0.290198043	-0.037804926	-0.118464873	-0.118276671	-0.842591122	0.0169845622	1	-0.279623552	-0.211311995	-0.210940024	-0.210192931	-0.854921874	-0.857448071	-0.199263994	-0.198652141	-0.153099224	0.4342073847	0.2355283509	-0.148504562	-0.866966135	-0.260744506	-0.189772874	-0.254647949	-0.249104842	-0.178828769	-0.887343449	-0.246681184	-0.246235255	-0.174721758	-0.900510185	-0.034581449	-0.907818393	-0.906040755	0.0155508695	-0.025384796	-0.233029988	-0.23076596	-0.942310129	-0.942310129	-0.153722946	-0.959705873	-0.066624382	-0.21677659	-0.095957477	-0.210026229	-0.999	-0.135464477	-0.999	-0.198295374	-0.999	-0.124719858	-0.19729155	-0.072782375	-0.999	-0.999	-0.111395533	-0.184532851	-0.999	-0.05623051	-0.999	-0.999	-0.102677902	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	0.0321470136	-0.999	0.0008294921	-0.797197066	0.0387438003	-0.157769915	-0.800125089	-0.805139537	-0.807144296	0.0235867565	-0.140614494	-0.140614494	-0.812287239	-0.007879436	-0.135051222	-0.818667668	-0.131581784	0.0033688395	-0.833885788	-0.869697906	0.6245735955	-0.019448173	0.0822287819	-0.902665019	-0.911791874	-0.914986235	-0.914986235	-0.918376912	-0.925450296	-0.925450296	-0.949822942	-0.949822942	-0.07726591	-0.07346383	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999
CORR	v000041	-0.177251866	-0.070272216	0.043082031	-0.034295502	-0.155348012	0.017718897	0.0902710633	0.045641669	0.0817152107	-0.092683281	0.1103112158	0.1354623743	-0.00237877	0.0380251346	0.0313102789	0.1714550285	0.1979527103	-0.231845927	0.0892877274	-0.010148643	-0.006538942	0.0328355966	-0.130067435	-0.254591002	0.1224341984	0.0519928312	0.0525368353	-0.247433908	0.0042447294	-0.037568154	-0.146447056	0.0557949247	0.1303417289	-0.018582712	0.1406258259	-0.279623552	1	0.009093257	0.0609015083	-0.004508779	-0.013544528	-0.010235504	0.0379659063	-0.090182744	0.0772851996	-0.088811629	-0.193497084	0.082857605	-0.192218767	-0.192218767	0.1585796651	-0.105037832	-0.179644893	-0.097263429	0.1550171923	-0.066522254	-0.245893788	0.0036284004	-0.012809912	-0.12436923	-0.031262103	-0.238762499	-0.919002049	-0.115904292	0.0361946244	0.1254480806	0.0915409385	0.0441344538	-0.070036052	0.082867208	0.0987396233	-0.060648116	-0.143150554	0.0659979475	-0.088168049	-0.087125959	0.0157180197	-0.197951572	-0.124712129	0.0626829382	-0.999	0.0856259993	-0.999	-0.1122248	0.2539783844	-0.109817192	-0.999	0.0640365811	-0.999	-0.1035915	-0.102309016	-0.01319252	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.168612618	-0.795544191	-0.795544191	-0.163820382	-0.160666042	0.0666194314	-0.157424835	-0.078776746	-0.805372029	-0.01668366	-0.144537095	-0.140269061	0.061686505	0.0296674439	-0.059245828	0.0684563563	-0.819018493	-0.821741753	-0.048546507	-0.12208375	-0.870556978	-0.103551112	-0.880898425	-0.095066415	-0.093455077	-0.008703124	-0.090163922	-0.916284673	-0.919755752	-0.087633016	-0.087633016	-0.951511202	-0.951511202	0.1391686203	0.0107601384	0.0753842951	0.2837658346	0.0252497014	-0.999	-0.999	-0.999	0.1075933344	0.3244615589
CORR	v000042	-0.202901298	0.0181803088	0.0397004701	0.0480195168	-0.094322494	0.091872065	0.018428072	0.0619432883	0.2540825669	-0.065511633	0.3556657272	0.1978956122	-0.078459023	-0.179495681	0.2225000233	-0.09806648	-0.096700768	-0.198108758	0.0613630025	0.0226953912	-0.053391891	-0.130588007	0.0278635938	-0.316657682	-0.174405571	0.0633749694	0.072788342	-0.999	-0.05543739	-0.071876254	-0.116773322	0.6261126626	0.0980996329	0.0121263377	-0.062023306	-0.211311995	0.009093257	1	0.0255858251	-0.018650294	0.3179249079	0.1075346495	0.1732509092	0.0114478998	0.1827880076	-0.150326346	0.2249351318	0.3083524	-0.145261221	-0.86941841	-0.142313471	-0.183967311	0.0339990233	-0.041208175	-0.018834895	0.0205182172	-0.244345461	0.1524797057	-0.05838432	0.0281784071	-0.007059588	-0.085031296	-0.05003764	0.0194980066	-0.022782252	-0.075258009	-0.224999607	0.0788414217	0.3075946948	-0.065391096	0.1742401717	-0.028667788	-0.057165761	0.1435587362	-0.134418077	0.0519037024	-0.198375756	-0.999	-0.196392749	-0.999	-0.999	-0.002289267	-0.999	-0.999	-0.022283603	-0.020969364	-0.999	0.2213884175	-0.999	0.2118267806	-0.012809246	0.0922550792	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	-0.999	0.0024897761	-0.79621031	0.1928560302	0.0387394685	0.0684764186	0.0105531717	0.012786025	0.1481689133	-0.808565988	-0.809464138	0.0635051531	0.2529257662	-0.138158298	-0.135954074	0.2736378904	-0.820677423	0.0014047911	0.0457169806	-0.040822432	-0.874391242	-0.876427231	0.1669297969	0.255641483	0.0863004227	0.1791781074	-0.088596071	-0.922286496	0.0493157837	-0.933289738	0.0512564227	-0.959082457	-0.959082457	-0.991254661	0.0124216386	0.2583268289	-0.999	-0.058258427	-0.999	-0.999	-0.999	-0.999	-0.028829849
CORR	v000043	0.0639546932	0.1975709605	0.0156357254	0.0812550478	-0.047604833	-0.059394069	0.1842299871	0.0555646172	0.1089334746	0.1333170383	-0.096841277	0.0555593018	0.0512833402	0.2124036354	0.0071238305	0.0768469809	0.0119693745	-0.333598624	0.0848733062	0.1986854157	-0.015192203	-0.109718339	0.1831678947	-0.015606088	0.1708020841	0.1731142532	0.19123312	-0.079961028	0.0946372625	0.1624493463	-0.004193716	0.0102737497	0.0474967014	0.1868115231	0.019950395	-0.210940024	0.0609015083	0.0255858251	1	0.202881537	-0.028766801	0.170756385	0.1108950922	0.1216665291	0.0278080039	-0.061932707	-0.036105163	-0.016287583	0.0747758218	-0.034624331	-0.031365192	0.0425361452	0.0642807937	-0.040786267	0.0924169721	0.0939265344	-0.016459577	0.0844421915	-0.239212691	-0.086558608	-0.028958293	-0.0846283	0.018355992	0.0992185505	0.0000912182	-0.110922784	0.0940192183	0.0635270127	-0.067834542	-0.064988366	-0.008202524	0.0409866218	-0.02652511	0.049610318	0.1582863321	0.0086109749	-0.076351066	0.0646143597	0.1849574067	-0.999	0.133807731	0.0689413756	-0.112150206	-0.184502493	-0.10897977	0.0610695782	-0.105316303	0.1566820189	-0.103234644	-0.10154449	0.1749099107	0.0205051775	-0.098095397	-0.094100094	-0.169233844	-0.168815188	-0.093194951	-0.168395043	-0.168395043	-0.168395043	-0.168395043	-0.167973396	-0.167973396	-0.167973396	-0.167550238	-0.167550238	-0.167125556	-0.166699341	0.0028903241	-0.162350259	0.0034133557	0.0071315067	0.0413809593	0.0109533298	0.0729806464	0.0543378383	0.1703845789	-0.064810837	0.0639123453	-0.008506174	-0.137807634	0.1423518595	-0.054147164	-0.821055448	-0.129318667	-0.046502445	-0.837171736	-0.021123307	-0.877345367	0.0368648567	-0.904445659	-0.009340611	0.0477891573	-0.088245049	-0.005760744	0.1261145992	-0.003007308	-0.934772208	-0.080481109	-0.960854736	-0.993448539	0.0682924859	0.0774819642	0.0272794406	0.0272794406	-0.999	-0.999	-0.999	-0.035255309	0.0594102558
CORR	v000044	0.0995552177	0.2380114387	0.0353835282	0.1210668243	0.0192624052	-0.040136078	0.1278119774	-0.01571765	0.1378027287	0.1795364844	-0.095932394	0.0162797069	0.0948576903	0.1004048809	-0.011711601	0.0921221219	0.012953721	-0.270475412	0.1451448975	0.1445225526	-0.038669848	-0.129315586	0.2969665983	0.0584282359	-0.051255541	0.2028694042	0.2763207229	-0.018508506	0.1532153079	0.1329575028	-0.0915441	0.0365470719	0.1921284888	0.213531239	0.0800749932	-0.210192931	-0.004508779	-0.018650294	0.202881537	1	0.084226417	0.1285225082	0.0413913369	0.1985854767	0.0921789378	-0.039359856	-0.110547565	-0.056799909	0.0757114577	-0.080341865	-0.052388422	0.1185646659	0.0915561776	0.0367767842	-0.129420679	0.0820253123	0.0043031579	0.1331232583	0.1142179411	0.0900352273	-0.118777643	-0.028988765	0.1354740892	0.0208059887	-0.112703819	-0.074045962	-0.069507649	0.0086466481	0.0316446315	-0.008367722	0.0357869242	0.1085054447	-0.055954669	0.1175737385	0.1826632143	-0.016716281	0.0188519383	-0.005133125	0.2667069788	-0.195008933	-0.003921127	0.0254735169	-0.024519782	-0.109425859	-0.182693499	-0.01976144	-0.104564206	0.1857301342	0.0672060402	-0.051157898	0.129273926	0.1308545428	-0.047538193	-0.043344842	-0.092896236	-0.092442861	-0.04239476	-0.091987865	-0.091987865	-0.091987865	-0.091987865	-0.091531235	-0.091531235	-0.091531235	-0.091072959	-0.091072959	-0.090613026	0.0303409706	-0.035044206	-0.085440763	-0.084959946	-0.030951022	-0.079547146	-0.078029951	-0.025108459	0.0551570122	-0.142959992	-0.064059228	0.0320064976	-0.137648069	0.093466923	-0.004592852	-0.053395902	0.0728894128	-0.128614187	-0.045751505	-0.838266843	-0.020373696	-0.019567782	0.1131862091	-0.90689662	-0.090831237	0.0904148015	-0.926436982	0.0914041997	0.0924008546	-0.085009255	-0.93788901	0.0584148801	0.0584148801	-0.997765488	-0.070494924	0.1212703825	-0.999	0.0843394337	0.1002126074	0.1002126074	0.0527472987	0.1104419666	-0.999
CORR	v000046	-0.225814275	0.1177995904	0.1704742811	0.0964972481	0.0144399243	-0.050592249	0.1366677034	0.1276960614	0.2003568686	-0.003759185	0.2762300741	0.1946429093	-0.115418791	-0.078954321	0.2973487144	-0.074338557	-0.032967855	-0.264592366	0.0364316228	-0.03478598	-0.044704356	-0.122561829	0.0915792096	-0.019943848	-0.029518962	0.0902974726	0.0339581318	-0.039340938	0.1538052546	-0.011106697	0.017926882	0.4118120301	0.1654249033	0.1443703898	0.0141798897	-0.854921874	-0.013544528	0.3179249079	-0.028766801	0.084226417	1	0.0001535351	0.2715892242	0.1303535272	0.2218957215	0.021447247	0.1899730171	0.2059346704	0.0831486003	-0.879120629	-0.070610769	0.0005625916	0.1227772877	0.1754571014	-0.032933591	-0.086261923	-0.237769136	0.4954408849	-0.232978249	0.2207890018	-0.11254617	-0.230628505	-0.072010639	-0.224795472	0.1562567512	0.0664533178	-0.03303258	0.2648672374	0.2179680804	-0.998419123	0.0427102321	-0.999	-0.20683645	0.176919977	-0.999	0.4231095801	-0.069338365	-0.999	-0.115939783	-0.999	-0.188768502	0.0556283621	0.1218010198	-0.999	-0.052735445	0.3199436178	0.1122758868	0.2413838811	0.1326463943	0.3807129485	-0.169058817	0.0278714463	0.1209500565	0.1257526971	0.1066890393	0.1072261127	0.1268410773	0.1077651352	0.1077651352	0.1077651352	0.1077651352	0.108306121	0.108306121	0.108306121	0.1088490847	0.1088490847	0.1093940411	-0.797009121	0.093819626	0.1155244534	0.2644085843	0.1201476565	-0.02264417	-0.021051812	-0.018898497	0.3385471121	-0.137367485	0.3622725553	0.2613566161	0.4734542525	-0.131509363	-0.050480855	0.410992866	-0.82856099	-0.043665279	0.0128408988	-0.847595316	-0.892950967	-0.895385543	0.2729609388	0.2262126045	0.0519021524	0.0547162364	0.0977009981	-0.951090604	0.1333266104	-0.079410724	0.0036842509	-0.996402128	-0.996402128	-0.999	-0.064898045	0.3684785454	-0.999	0.0904509871	-0.999	-0.999	-0.999	0.1165183095	-0.76267342
CORR	v000047	-0.071718508	0.2303807557	0.0877547842	0.0739208195	0.004279885	-0.101132948	0.1759882806	0.1482583029	0.0491227924	0.0431646084	-0.134895332	0.0096230546	0.1926037339	0.0848280589	0.121002199	0.0586742724	0.0429593903	-0.999	0.2499337423	0.3200815338	0.2505990775	-0.245697744	0.1473059249	-0.00371438	0.091841888	0.1926416466	0.0265673545	-0.132054332	-0.026420991	0.1447052898	-0.081638692	-0.040514591	0.0221932603	0.3297580071	0.0316443596	-0.857448071	-0.010235504	0.1075346495	0.170756385	0.1285225082	0.0001535351	1	0.0378435265	0.1339564182	0.0670772925	-0.876049987	-0.101109578	0.0725385771	0.0140646943	-0.134953585	-0.042501189	0.3279378509	-0.05667105	-0.166932265	-0.029790147	-0.119028024	0.0327608101	-0.05078413	-0.077133465	0.0870299788	0.0598029754	0.0033762227	-0.013480224	0.1702039885	-0.067267951	0.0341827599	-0.144096343	-0.987976741	0.0418059554	-0.091462637	-0.053791361	-0.048215364	-0.999	0.0398190134	0.0181485389	0.1309876306	-0.999	0.0044951515	-0.026530466	-0.063804094	0.2516647756	-0.060347959	-0.999	-0.175623148	-0.17451516	-0.173396734	-0.17112776	0.0985367813	-0.169203221	-0.092029396	0.3418821908	-0.039329336	-0.999	-0.796684162	-0.796905413	-0.797121309	-0.797121309	-0.797355553	-0.797355553	-0.797355553	-0.797355553	-0.79757949	-0.79757949	-0.79757949	-0.797814788	-0.797814788	-0.798049567	-0.081389288	-0.153454824	-0.800922267	-0.025425343	0.3416104674	-0.8046928	0.1055984952	0.3402982469	0.0646997643	0.1813786552	-0.055303659	0.0013657782	-0.05067693	-0.050086487	0.0775918229	-0.123878985	-0.122733417	-0.120408151	-0.841739396	-0.852489009	-0.901275022	-0.092717229	0.1519906343	-0.939124615	-0.946907519	0.1900477308	-0.964128943	0.2904654286	0.1363135068	-0.978864359	-0.076799832	0.2658782522	0.1447944045	-0.999	-0.062288086	-0.999	-0.04900034	-0.04900034	0.2725526972	0.2725526972	0.2004970966	-0.759713116	-0.019587765
CORR	v000049	-0.015684184	0.1434242684	0.0963694987	0.0772241921	0.0283186602	-0.008309269	0.348366029	0.0719707487	0.1797698929	0.0028522663	0.1697299183	0.1383447884	0.0750233711	-0.058663178	0.2034475779	0.0353398607	0.0793729091	-0.259645322	0.0335657296	0.098702276	-0.012349631	0.0408455013	0.053579749	0.0336213046	0.0377646868	0.1437355368	0.0509105763	-0.004919808	0.1448079909	0.0725271861	0.0372725111	0.3910163592	0.1044921766	0.1591455351	0.0941746355	-0.199263994	0.0379659063	0.1732509092	0.1108950922	0.0413913369	0.2715892242	0.0378435265	1	0.1053193394	0.2287191132	0.0954018859	0.4533292571	0.1969342065	0.0630945981	-0.068191194	-0.065062349	0.0064172233	0.078605229	0.1189438665	0.142054993	-0.003544812	-0.002987056	0.0196814252	0.0029980386	0.1165433033	-0.107309315	-0.071981021	-0.102918718	0.1622321089	-0.034877823	0.1657305952	-0.027497413	0.1597746865	0.1627028629	-0.08913426	-0.208367922	-0.082814472	-0.08118723	-0.037898317	-0.005726758	0.1860974749	0.0045575252	0.1465437933	-0.024133772	-0.999	-0.109834336	0.0377742906	0.1740563955	-0.999	0.0729797701	0.2062368372	0.1680817251	0.138525379	0.1989993555	0.1873675377	0.0831117818	0.0333676369	0.1770610145	0.1496316567	0.1669450148	0.1675033143	0.1831603097	0.1680636481	0.1680636481	0.1680636481	0.1680636481	0.1686260313	0.1686260313	0.1686260313	0.169190479	0.169190479	0.1697570068	-0.079158029	0.1212537298	0.1592564989	0.1767234463	-0.019519462	-0.068556276	-0.06703955	0.025732383	0.3250998304	-0.002363722	-0.053074407	0.0437188951	0.129799425	0.0043003909	0.1759631741	0.0502820382	-0.120644404	0.1161548332	0.0180385966	-0.85669386	-0.091368941	-0.008615881	-0.005342877	0.0552283409	0.0023484427	-0.07807225	0.1029872555	-0.07724081	0.0068339068	-0.074710308	0.0637263373	0.0143613258	-0.999	-0.999	-0.060199383	0.3441177144	-0.999	0.139083905	-0.999	-0.999	-0.760858878	0.1216177993	-0.765686391
CORR	v000050	0.0982133211	0.2609567338	0.1024758088	0.2092881691	0.1298016926	-0.024668239	0.1111255469	0.0264301637	0.1440501102	0.1777056251	-0.113540209	0.0725828965	0.0436995792	0.0960473004	0.1377698842	0.0540362477	0.0080449485	-0.999	0.0786170799	0.2065719706	-0.123766119	-0.200031984	0.2176465824	0.09971713	0.0385558013	0.1062302654	0.122794729	0.1092029445	0.0812653072	0.1485270555	-0.020249882	-0.01964674	0.0743878505	0.135056011	-0.01031182	-0.198652141	-0.090182744	0.0114478998	0.1216665291	0.1985854767	0.1303535272	0.1339564182	0.1053193394	1	0.0274597146	0.0435482044	-0.068932607	-0.021653453	0.1909561446	0.1138335664	-0.093607753	0.1638839015	0.1717256367	-0.081747046	0.0158476452	0.1092509524	0.1659282878	0.1366292568	-0.044325197	0.1296507449	-0.015036353	0.1656537326	0.1720786293	-0.100875176	0.014241842	-0.00566526	-0.093641452	-0.141252338	-0.054533426	-0.021351859	0.101223489	0.055297697	-0.04347003	0.1457445236	0.257326466	0.0856134638	-0.186506532	-0.061214801	0.1320140026	-0.109944555	0.0355340903	0.0116983188	-0.174791018	-0.048121877	-0.171858358	0.0750823909	-0.168470197	0.1558753003	0.0292811898	0.0311659711	0.0838078552	0.0340411839	-0.161793713	-0.158100673	-0.157683132	-0.157264112	-0.157264112	-0.156843603	-0.156843603	-0.156843603	-0.156843603	-0.156421594	-0.156421594	-0.156421594	-0.155998074	-0.155998074	-0.155573032	0.1163813428	-0.022969141	-0.150793837	-0.073352705	0.0526452881	-0.145349686	0.1859916392	-0.013043527	0.0958403635	0.1459543216	-0.000538443	-0.047833931	0.044373996	-0.126235739	0.1090256656	-0.121214305	0.0854885109	0.1419317727	-0.846321913	-0.857888789	0.1210906173	-0.008003466	-0.087036971	-0.081566843	0.1343169978	-0.077496352	0.1036348659	0.1036348659	0.0074453235	-0.074134447	0.0643587015	-0.068902458	0.1128539039	-0.999	0.0809706632	0.0337639676	-0.999	0.0962092175	0.1120412923	0.1120412923	0.2034861513	-0.76118027	-0.76607176
CORR	v000051	-0.076101081	0.0436168221	0.0650722165	0.0901045208	0.0617411244	0.0457072048	0.1059618187	0.0096785522	0.2099590084	-0.137770932	0.5051916954	-0.016422831	-0.062082972	-0.008204195	0.0760688314	0.0795325968	0.1619695838	-0.321807758	0.0041459568	0.1680626263	-0.083938179	-0.076100161	0.0451643062	-0.091828532	-0.108922397	0.0986744036	0.0525085172	-0.083554998	0.022751345	-0.164685885	-0.102005262	0.2217981483	0.1663383255	0.0542419947	-0.046646657	-0.153099224	0.0772851996	0.1827880076	0.0278080039	0.0921789378	0.2218957215	0.0670772925	0.2287191132	0.0274597146	1	0.0442980153	0.0765564802	0.1985751109	0.0347783913	-0.246521452	-0.06369884	0.0260153774	0.033154351	0.1082148489	0.0516705764	-0.00212951	-0.114907917	0.0563424916	-0.018098469	0.0439178455	-0.039964205	-0.106830241	-0.035304098	0.0146380058	0.1154458667	0.0382073178	-0.140634924	0.0948719698	0.1265723319	0.1008798706	-0.086918304	0.0122333828	0.0767093037	-0.122382984	-0.999	-0.003263109	0.0961894379	0.0349888599	-0.10968775	-0.999	-0.059431779	0.0391540822	-0.011402351	-0.172389948	-0.171281649	-0.094790387	-0.003987163	0.1220275904	-0.001728131	0.0590569447	0.0845071334	0.1618533934	0.0038496884	0.0081866099	0.0086770436	0.0091692334	0.0091692334	0.009663192	0.009663192	0.009663192	0.009663192	0.0101589325	0.0101589325	0.0101589325	0.010656468	0.010656468	0.0111558116	-0.154569021	0.1226611094	0.0167718686	0.1232301535	-0.146614727	0.1678696012	-0.808174656	0.0270491483	0.0684719088	-0.131516976	-0.130473104	0.0450320788	0.2258228902	-0.125657463	0.0080878169	0.2765628988	-0.119490257	-0.03742428	0.0933219812	-0.859131955	-0.090214373	-0.915559743	0.0502495405	0.1886480948	-0.962957785	0.2385979597	0.0071496489	-0.076086418	-0.987355045	0.0098992496	0.0098992496	-0.999	-0.068324056	-0.999	-0.999	-0.999	-0.045759616	-0.045759616	-0.03198355	-0.03198355	-0.761524479	0.0648121191	-0.016353261
CORR	v000052	-0.19181948	0.175435599	-0.089403455	0.0503012379	0.845721529	-0.09604253	0.1359922352	0.0599813835	0.0034944414	-0.340881248	-0.053015473	0.2001705493	0.3183361953	-0.999	0.0689678783	-0.261062029	-0.323186799	-0.999	-0.091100858	0.0310512314	-0.083208244	-0.834716337	0.0560040616	0.8496874768	-0.035736541	0.0908309044	0.0080226578	0.8195802893	0.1991337375	0.012169162	-0.036320513	-0.27485979	0.2291650062	0.0293270105	0.2204952715	0.4342073847	-0.088811629	-0.150326346	-0.061932707	-0.039359856	0.021447247	-0.876049987	0.0954018859	0.0435482044	0.0442980153	1	-0.24713425	0.0176315501	0.0189018616	0.5370867145	-0.037887952	-0.123788247	-0.16404121	0.8196672459	0.0524126966	-0.161419442	0.595722078	-0.158744063	-0.155761616	-0.016539792	-0.069148824	0.6703815671	-0.969382886	-0.007358998	-0.007053079	-0.060215916	-0.21201833	0.1843246956	0.0030893952	0.0856278842	0.0694417413	-0.999	-0.042137489	-0.035904997	-0.193900789	-0.070809152	-0.1112127	-0.999	-0.999	-0.108705813	-0.182360853	-0.056089331	0.8998247669	0.444457029	-0.045575057	0.0526524895	0.8862399402	-0.165388658	0.9364386199	-0.16382574	-0.162639886	0.0035692233	0.876643243	0.8725963413	0.8702500635	0.8725296519	0.8725296519	0.8717247251	0.8717247251	0.868607887	0.8717247251	0.8693503369	0.8646027802	0.8677774454	0.8700965521	0.8700965521	0.8692731649	0.6802084889	-0.80328577	0.8777861564	-0.803597059	-0.805965963	-0.144191466	0.1874411741	-0.140895485	0.1219101407	-0.82069297	-0.821941878	0.0056032061	-0.827521	-0.12507653	-0.122871168	-0.120054909	0.6227371815	0.2951351015	-0.03292776	-0.860407504	0.6646025804	0.047448086	-0.930690044	-0.080407104	-0.966086415	0.0068634679	0.1694199133	0.2781494865	0.0086765042	0.1427589171	0.172590369	-0.999	0.4744220068	-0.999	-0.999	0.2008777546	-0.999	0.0407510863	0.2993104945	0.2993104945	0.4169692014	-0.761860604	-0.766896578
